plant_id,MAE,RMSE,NMAE,model
plant_01,0.9347923890789182,1.7018540711705943,0.022256961644736145,Mean
plant_02,1.2485656785786174,2.2789243308042817,0.022701194155974862,Mean
plant_03,1.5743948823388096,2.8921539070107394,0.0231528659167472,Mean
plant_04,1.967823150809757,3.6263741675409493,0.024294112972959962,Mean
plant_01,2.5232758712745698,4.441101759253597,0.060077996935108804,Weather
plant_02,1.1334496927398816,1.9964306484028898,0.02060817623163421,Weather
plant_03,1.3038777505106116,1.511782466376016,0.019174672801626644,Weather
plant_04,4.548759897662405,5.1997826117409645,0.05615752960077044,Weather
plant_01,2.519661385483789,4.716410106145968,0.059991937749614026,ForecastWeather
plant_02,1.4342154215518659,2.8162499106888794,0.026076644028215742,ForecastWeather
plant_03,2.1058821509969814,2.854891131424866,0.030968855161720318,ForecastWeather
plant_04,5.5305183135989795,6.805018404191242,0.06827800387159233,ForecastWeather
plant_01,2.4717660362045453,4.375922182425428,0.058851572290584415,Ldaps
plant_02,1.0387931970561373,1.9432341568485927,0.018887149037384317,Ldaps
plant_03,1.4542612932055927,1.7957167780893828,0.02138619548831754,Ldaps
plant_04,4.72193609354863,5.443024021787933,0.058295507327760863,Ldaps
plant_01,0.7336659062577013,1.378541041248229,0.017468235863278603,SPOT
plant_02,0.8399631363733036,1.645927523132906,0.015272057024969156,SPOT
plant_03,1.1207702457552133,2.1692319402677085,0.01648191537875314,SPOT
plant_04,1.4450324262139387,2.8562984724850584,0.01783990649646838,SPOT
