plant_id,timestamp,capacity_mw,latitude,longitude,actual_irradiance,actual_temperature,actual_cloud_cover,actual_wind_speed,forecast_irradiance,forecast_temperature,forecast_cloud_cover,forecast_wind_speed,ldaps_irradiance,ldaps_temperature,ldaps_cloud_cover,ldaps_humidity,generation_mw
plant_01,2024-03-01 00:00:00,42.0,33.0,126.0,0.0,17.86967058458342,0.4213301955828102,4.600360956645166,0.0,15.465311570858784,0.2267163248308882,4.74098540012918,0.0,16.931322264252483,0.42015411455751,76.11706145497195,0.0
plant_02,2024-03-01 00:00:00,55.0,35.7,127.9,0.0,20.470340960433656,0.43568043424158764,4.374007473801637,0.0,18.75257575877566,0.4962430204906625,5.340302805239636,0.0,19.72131846158932,0.4227400687934194,71.6192807982941,0.0
plant_03,2024-03-01 00:00:00,68.0,38.4,129.8,0.0,18.69509125148614,0.4300170524485825,4.425847348442679,0.0,19.756733257501907,0.4954176397241412,6.781659709400187,0.0,17.799941250413475,0.3941600614135749,77.39357557627511,0.0
plant_04,2024-03-01 00:00:00,81.0,41.1,131.7,0.0,18.109463739716983,0.47687649170654445,3.3404150274470084,0.0,19.39577227632737,0.5786344505389232,2.6083543494294448,0.0,18.350021196118895,0.4850444983463954,75.34766528000932,0.0
plant_01,2024-03-01 01:00:00,42.0,33.0,126.0,0.0,18.499443437926274,0.47858223482733514,4.231295518951987,0.0,18.06010100521167,0.33829509464321184,3.7138855992299122,0.0,20.14387888028411,0.4593222772414673,78.19866644646447,0.0
plant_02,2024-03-01 01:00:00,55.0,35.7,127.9,0.0,18.016486518556675,0.3421991159868937,4.130202452084005,0.0,19.803180988956527,0.4404340397641077,3.7466048726107233,0.0,17.8060517611869,0.4022574276748945,66.1910074582686,0.0
plant_03,2024-03-01 01:00:00,68.0,38.4,129.8,0.0,19.014941447404123,0.4204911537222729,4.113940588856452,0.0,19.532020829557553,0.39349336262525414,4.802090022220522,0.0,18.286822912230807,0.4524654203512917,70.94007707689848,0.0
plant_04,2024-03-01 01:00:00,81.0,41.1,131.7,0.0,19.002715531482302,0.42021427326289984,3.624478127837821,0.0,20.09577788354219,0.4930964057425498,4.356401747707886,0.0,18.915025499485264,0.3905833914198091,66.67632777250182,0.0
plant_01,2024-03-01 02:00:00,42.0,33.0,126.0,0.0,16.983133145441307,0.36741102713519186,4.31981938137875,0.0,19.781589741013438,0.345813146190859,3.9279290132111813,0.0,16.757151831786913,0.30205778953450046,70.53896654073453,0.0
plant_02,2024-03-01 02:00:00,55.0,35.7,127.9,0.0,16.107044830732267,0.5436743833644034,4.347538914836686,0.0,13.414929121955359,0.498317888237756,4.426881373321942,0.0,16.131082190808055,0.5599617181592327,76.26729005048168,0.0
