plant_id,timestamp,capacity_mw,latitude,longitude,actual_irradiance,actual_temperature,actual_cloud_cover,actual_wind_speed,forecast_irradiance,forecast_temperature,forecast_cloud_cover,forecast_wind_speed,ldaps_irradiance,ldaps_temperature,ldaps_cloud_cover,ldaps_humidity,generation_mw
plant_01,2024-03-01 00:00:00,42.0,33.0,126.0,0.0,17.86967058458342,0.4213301955828102,4.600360956645166,0.0,15.465311570858784,0.2267163248308882,4.74098540012918,0.0,16.931322264252483,0.42015411455751,76.11706145497195,0.0
plant_02,2024-03-01 00:00:00,55.0,35.7,127.9,0.0,20.470340960433656,0.43568043424158764,4.374007473801637,0.0,18.75257575877566,0.4962430204906625,5.340302805239636,0.0,19.72131846158932,0.4227400687934194,71.6192807982941,0.0
plant_03,2024-03-01 00:00:00,68.0,38.4,129.8,0.0,18.69509125148614,0.4300170524485825,4.425847348442679,0.0,19.756733257501907,0.4954176397241412,6.781659709400187,0.0,17.799941250413475,0.3941600614135749,77.39357557627511,0.0
plant_01,2024-03-01 01:00:00,42.0,33.0,126.0,0.0,17.410160782184573,0.42308196337646126,3.3404150274470084,0.0,18.69646931879496,0.5248399222088399,2.6083543494294448,0.0,17.650718238586485,0.4312499700163122,74.15610481765658,0.0
plant_02,2024-03-01 01:00:00,55.0,35.7,127.9,0.0,18.499443437926274,0.5075239494150326,4.231295518951987,0.0,18.06010100521167,0.36723680923090934,3.7138855992299122,0.0,20.14387888028411,0.4882639918291648,79.00903445492,0.0
plant_03,2024-03-01 01:00:00,68.0,38.4,129.8,0.0,18.016486518556675,0.36705192972927936,4.130202452084005,0.0,19.803180988956527,0.4652868535064934,3.7466048726107233,0.0,17.8060517611869,0.42711024141728016,66.8868862430554,0.0
plant_01,2024-03-01 02:00:00,42.0,33.0,126.0,0.0,18.776422231427603,0.39563833997988723,4.113940588856452,0.0,19.293501613581032,0.36864054888286846,4.802090022220522,0.0,18.048303696254287,0.42761260660890604,70.35153193930111,0.0
plant_02,2024-03-01 02:00:00,55.0,35.7,127.9,0.0,18.76419631550578,0.40114403855115294,3.624478127837821,0.0,19.85725866756567,0.4740261710308029,4.356401747707886,0.0,18.676506283508743,0.3715131567080622,66.24969484776234,0.0
plant_03,2024-03-01 02:00:00,68.0,38.4,129.8,0.0,16.983133145441307,0.41133407558932444,4.31981938137875,0.0,19.781589741013438,0.3897361946449916,3.9279290132111813,0.0,16.757151831786913,0.34598083798863305,71.76881189745025,0.0
plant_01,2024-03-01 03:00:00,42.0,33.0,126.0,0.0,16.345564046708787,0.5436743833644034,4.347538914836686,0.0,13.653448337931879,0.498317888237756,4.426881373321942,0.0,16.369601406784575,0.5599617181592327,76.15995640329224,0.0
